"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","année d'octroi  de la subvention","prénom","nom","sexe","url_sénat","url_nossénateurs","url_nossénateurs_api"
"Sivom du canton de Monestiés",81,4614,"L'aménagement et la rénovation de parkings aux abords du Domaine et de la maison de retraite",122,"PASTOR Jean-Marc",81,2009,"Jean-Marc","Pastor","H","http://www.senat.fr/senateur/pastor_jean_marc95052h.html","http://nossenateurs.fr/jean-marc-pastor","http://nossenateurs.fr/jean-marc-pastor/json"
"Sivom du Haut-Comminges",31,26840,"Travaux d'urbanisation sur la RD 8 à Martres-de- Rivière (tranches ferme et conditionnelle)",122,"PLANCADE Jean-Pierre",31,2011,"Jean-Pierre","Plancade","H","http://www.senat.fr/senateur/plancade_jean_pierre98010k.html","http://nossenateurs.fr/jean-pierre-plancade","http://nossenateurs.fr/jean-pierre-plancade/json"
"Sivom du Val de Banquière",6,4601,"L'acquisition d'un véhicule pour le service ""portage de repas à domicile""",122,"LELEUX Jean-Pierre",6,2011,"Jean-Pierre","Leleux","H","http://www.senat.fr/senateur/leleux_jean_pierre08039a.html","http://nossenateurs.fr/jean-pierre-leleux","http://nossenateurs.fr/jean-pierre-leleux/json"
"Sivom du Val-Fleuri",70,4927,"La construction d'un pôle de services gérontologique, social, médical et paramédical",122,"KRATTINGER Yves",70,2008,"Yves","Krattinger","H","http://www.senat.fr/senateur/krattinger_yves03001n.html","http://nossenateurs.fr/yves-krattinger","http://nossenateurs.fr/yves-krattinger/json"
"Sivom pour l'équipement sportif et culturel de Thizy et Bourg-de-Thizy",69,16000,"Construction de tribunes vestiaires au stade Chatelus",122,"MERCIER Michel",69,2007,"Michel","Mercier","H","http://www.senat.fr/senateur/mercier_michel95049n.html","http://nossenateurs.fr/michel-mercier","http://nossenateurs.fr/michel-mercier/json"
"SIVOM secteur de Varades",44,7000,"L'acquisition d'un minibus",122,"RAOUL Daniel",49,2012,"Daniel","Raoul","H","http://www.senat.fr/senateur/raoul_daniel01016m.html","http://nossenateurs.fr/daniel-raoul","http://nossenateurs.fr/daniel-raoul/json"
"SIVOM TARN ET LUMENSONESQUE",12,5000,"L'adduction d'eau potable du hameau de l'Alauzet",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"SIVOS Clairefougère - Frênes - Montsecret",61,9395,"L'acquisition de mobilier, d'ordinateurs et d'un tableau numérique pour l'école primaire de Montsecret",122,"GOULET Nathalie",61,2012,"Nathalie","Goulet","F","http://www.senat.fr/senateur/goulet_nathalie07004j.html","http://nossenateurs.fr/nathalie-goulet","http://nossenateurs.fr/nathalie-goulet/json"
"SIVOS DE Belleneuve",21,3751,"L'isolation de l'école élémentaire de Belleneuve",122,"REBSAMEN François",21,2013,"François","Rebsamen","H","http://www.senat.fr/senateur/rebsamen_francois08070y.html","http://nossenateurs.fr/francois-rebsamen","http://nossenateurs.fr/francois-rebsamen/json"
"SIVOS DE Belleneuve",21,4818,"La réhabilitation des combles de l'école maternelle",122,"REBSAMEN François",21,2013,"François","Rebsamen","H","http://www.senat.fr/senateur/rebsamen_francois08070y.html","http://nossenateurs.fr/francois-rebsamen","http://nossenateurs.fr/francois-rebsamen/json"
