"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Association Scolaire Deborde","",2500,"Fonctionnement",139,"NACHURY Dominique",69,"Député","","Dominique","Nachury","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/344776.asp","http://www.nosdeputes.fr/dominique-nachury","http://www.nosdeputes.fr/dominique-nachury/xml"
"Association Secours catholique de la Mayenne","",2500,"Soutien aux activités et services proposés à l'attention des personnes en situation d'exclusion",177,"PICHOT Sylvie",53,"Député","","Sylvie","Pichot","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642844.asp","http://www.nosdeputes.fr/sylvie-pichot","http://www.nosdeputes.fr/sylvie-pichot/xml"
"Association Secours populaire de la Mayenne","",2500,"Soutien aux actions de solidarité menées dans le cadre du libre-service alimentaire",304,"PICHOT Sylvie",53,"Député","","Sylvie","Pichot","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642844.asp","http://www.nosdeputes.fr/sylvie-pichot","http://www.nosdeputes.fr/sylvie-pichot/xml"
"Association Secours Populaire Français","",2300,"Fonctionnement",177,"POUMIROL Emilienne",31,"Député","","Émilienne","Poumirol","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/606375.asp","http://www.nosdeputes.fr/emilienne-poumirol","http://www.nosdeputes.fr/emilienne-poumirol/xml"
"Association Semadour","",25000,"Animation, soutien technique aux projets de développement en milieu rural, actions de promotion et de communication",224,"Groupe SRC",75,"Assemblée nationale","","","","","","","",""
"Association Sérénade","",1000,"Fonctionnement",157,"DE LA VERPILLIERE Charles",1,"Député","","Charles de","La Verpillière","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1012.asp","http://www.nosdeputes.fr/charles-de-la-verpilliere","http://www.nosdeputes.fr/charles-de-la-verpilliere/xml"
"Association Sésame-Autisme Gestion et perspectives (et non pas SARA)","",3000,"Fonctionnement",157,"HERBILLON Michel",94,"Député","","Michel","Herbillon","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1630.asp","http://www.nosdeputes.fr/michel-herbillon","http://www.nosdeputes.fr/michel-herbillon/xml"
"Association SINGUILA","",1000,"Fonctionnement",209,"PELISSARD Jacques",39,"Député","","Jacques","Pélissard","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2345.asp","http://www.nosdeputes.fr/jacques-pelissard","http://www.nosdeputes.fr/jacques-pelissard/xml"
"Association SNVVPA","",4000,"NC",219,"HUREL Sandrine",76,"Député","","Sandrine","Hurel","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/304016.asp","http://www.nosdeputes.fr/sandrine-hurel","http://www.nosdeputes.fr/sandrine-hurel/xml"
"Association socio culturelle Franco Yéménite","",2000,"Animation de quartier",163,"Groupe SRC",75,"Assemblée nationale","","","","","","","",""
"Association socio-culturelle des Africains de l'Oise (ASCAO)","",1000,"Fonctionnement",224,"MANCEL Jean-François",60,"Député","","Jean-François","Mancel","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2048.asp","http://www.nosdeputes.fr/jean-francois-mancel","http://www.nosdeputes.fr/jean-francois-mancel/xml"
"Association socio-culturelle et sportive du Quadrilatère (ASC QUADRI)","",3000,"développement du lien social et promotion des actions et manifestation socio-culturelle sur le quadrilatère",163,"LAGARDE Jean-Christophe",93,"Député","","Jean-Christophe","Lagarde","H","UDI","http://www.assemblee-nationale.fr/14/tribun/fiches_id/268019.asp","http://www.nosdeputes.fr/jean-christophe-lagarde","http://www.nosdeputes.fr/jean-christophe-lagarde/xml"
