Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
Louis Pinton,UMP,Sénat,118504
Dino Cinieri,UMP,Assemblée nationale,118335
Jean-Patrick Gille,SRC,Assemblée nationale,118000
Jean-François Chossy,UMP,Assemblée nationale,117699
Catherine Tasca,SOC,Sénat,117553
François Pillet,UMP,Sénat,116761
Jean-Louis Touraine,SRC,Assemblée nationale,116000
Gérard Hamel,UMP,Assemblée nationale,115719
Joseph Kergueris,UC,Sénat,115463
Jean Dionis du Séjour,NC,Assemblée nationale,115146
Christiane Hummel,UMP,Sénat,115039
Thierry Braillard,RRDP,Assemblée nationale,115000
Philippe Bies,SRC,Assemblée nationale,115000
Eva Sas,ECOLO,Assemblée nationale,114600
Jean-Pierre Dupont,UMP,Assemblée nationale,114304
Arlette Grosskost,UMP,Assemblée nationale,114182
DEBRE Jean-Louis,11ème législature (2002-2007),Assemblée nationale,114049
Hélène Geoffroy,SRC,Assemblée nationale,114000
Catherine Lemorton,SRC,Assemblée nationale,114000
Bernard Frimat,SOCV,Sénat,113219
Patrick Mennucci,SRC,Assemblée nationale,113000
Arnaud Leroy,SRC,Assemblée nationale,113000
Thierry Lazaro,UMP,Assemblée nationale,112866
Guy Malherbe,UMP,Assemblée nationale,112757
Dominique Tian,UMP,Assemblée nationale,112509
Razzy Hammadi,SRC,Assemblée nationale,112000
Frédérique Massat,SRC,Assemblée nationale,111944
Catherine Quéré,SRC,Assemblée nationale,111343
Franck Riester,UMP,Assemblée nationale,111265
Pierre Lasbordes,UMP,Assemblée nationale,111076
Yves Pozzo di Borgo,UDI,Sénat,111000
Philippe Boënnec,UMP,Assemblée nationale,110686
Jean-Louis Christ,UMP,Assemblée nationale,110561
Daniel Gibbes,UMP,Assemblée nationale,110000
Christiane Kammermann,UMP,Sénat,110000
Bernard Roman,SRC,Assemblée nationale,110000
Bernard Debré,UMP,Assemblée nationale,109903
Mireille Schurch,CRC,Sénat,109751
Gérard Voisin,UMP,Assemblée nationale,109604
Alain Moyne-Bressand,UMP,Assemblée nationale,109230
Alain Milon,UMP,Sénat,109101
Laurent Cathala,SRC,Assemblée nationale,109007
Jean-Paul Anciaux,UMP,Assemblée nationale,108711
Germinal Peiro,SRC,Assemblée nationale,108394
Yves Albarello,UMP,Assemblée nationale,108328
Pierre Hérisson,UMP,Sénat,108253
Roland Blum,UMP,Assemblée nationale,108239
Laurence Abeille,ECOLO,Assemblée nationale,108000
Christophe Guilloteau,UMP,Assemblée nationale,107791
Louis Giscard d'Estaing,UMP,Assemblée nationale,107653
Jean-Marie Sermier,UMP,Assemblée nationale,107554
Nicolas Alfonsi,RDSE,Sénat,107372
François de Mazières,UMP,Assemblée nationale,107000
Gilles Bourdouleix,NI,Assemblée nationale,106779
Christophe Priou,UMP,Assemblée nationale,106701
Christophe Cavard,ECOLO,Assemblée nationale,106500
Éric Woerth,UMP,Assemblée nationale,106462
Gérard Le Cam,CRC,Sénat,106272
Jean-Louis Dumont,SRC,Assemblée nationale,106133
Jean-Marc Juilhard,UMP,Sénat,105670
François Calvet,UMP,Assemblée nationale,105660
Marc Laménie,UMP,Sénat,105598
Marie-Thérèse Bruguière,UMP,Sénat,105189
Marcel-Pierre Cléach,UMP,Sénat,105077
Jack Ralite,CRC,Sénat,104954
Patricia Adam,SRC,Assemblée nationale,104901
Hélène Lipietz,ECO,Sénat,104800
Dominique Bussereau,UMP,Assemblée nationale,104688
Paul Jeanneteau,UMP,Assemblée nationale,104587
Anne-Yvonne Le Dain,SRC,Assemblée nationale,104500
Nathalie Goulet,UDI,Sénat,104454
Jean Proriol,UMP,Assemblée nationale,104391
Antoine Herth,UMP,Assemblée nationale,104159
Geneviève Gaillard,SRC,Assemblée nationale,104139
Jean-Jacques Candelier,GDR,Assemblée nationale,104073
André Gattolin,ECO,Sénat,104000
Jean-Marie Binetruy,UMP,Assemblée nationale,103986
Jackie Pierre,UMP,Sénat,103654
André Schneider,UMP,Assemblée nationale,103500
Philippe Vitel,UMP,Assemblée nationale,103000
François Fillon,UMP,Assemblée nationale,103000
Jacques Lamblin,UMP,Assemblée nationale,102710
André Flajolet,UMP,Assemblée nationale,102492
Guy Geoffroy,UMP,Assemblée nationale,102359
Max Roustan,UMP,Assemblée nationale,102031
Geneviève Levy,UMP,Assemblée nationale,102000
Alain Ferry,UMP,Assemblée nationale,101927
Jérôme Lambert,RRDP,Assemblée nationale,101541
Françoise Henneron,UMP,Sénat,101227
Jean-Pierre Maggi,SRC,Assemblée nationale,101000
