"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Amicale des Anciens Chasseurs","",1500,"Subvention fonctionnement",224,"PIERRE Jackie",88,"Sénateur","","Jackie","Pierre","H","UMP","http://www.senat.fr/senateur/pierre_jackie04088s.html","http://www.nossenateurs.fr/jackie-pierre","http://www.nossenateurs.fr/jackie-pierre/xml"
"Amicale des anciens combattants d'outre-mer","",16000,"Fonctionnement",169,"FROGIER Pierre",988,"Sénateur","","Pierre","Frogier","H","UMP","http://www.senat.fr/senateur/frogier_pierre11010l.html","http://www.nossenateurs.fr/pierre-frogier","http://www.nossenateurs.fr/pierre-frogier/xml"
"Amicale laïque Nangissienne","",5000,"NC",163,"BILLOUT Michel",77,"Sénateur","","Michel","Billout","H","CRC","http://www.senat.fr/senateur/billout_michel04054g.html","http://www.nossenateurs.fr/michel-billout","http://www.nossenateurs.fr/michel-billout/xml"
"Amicale Manin Sport Paris-Est","",5000,"NC",219,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"Amigos de francia","",3000,"Réalisation d'un site internet",185,"GARRIAUD-MAYLAM Joëlle",999,"Sénateur","","Joëlle","Garriaud-Maylam","F","UMP","http://www.senat.fr/senateur/garriaud_maylam_joelle04035d.html","http://www.nossenateurs.fr/joelle-garriaud-maylam","http://www.nossenateurs.fr/joelle-garriaud-maylam/xml"
"Amis des intermittents et précaires","",8000,"NC",304,"GATTOLIN André",92,"Sénateur","","André","Gattolin","H","ECO","http://www.senat.fr/senateur/gattolin_andre11083r.html","http://www.nossenateurs.fr/andre-gattolin","http://www.nossenateurs.fr/andre-gattolin/xml"
"Anafé","",20000,"Assistance des étrangers en difficulté aux frontières",303,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"Anciens Gonneville la Mallet","",1000,"NC",157,"REVET Charles",76,"Sénateur","","Charles","Revet","H","UMP","http://www.senat.fr/senateur/revet_charles95062k.html","http://www.nossenateurs.fr/charles-revet","http://www.nossenateurs.fr/charles-revet/xml"
"ANDES","",10000,"NC",304,"VANDIERENDONCK René",59,"Sénateur","","René","Vandierendonck","H","SOC","http://www.senat.fr/senateur/vandierendonck_rene11037k.html","http://www.nossenateurs.fr/rene-vandierendonck","http://www.nossenateurs.fr/rene-vandierendonck/xml"
"Anim Barjac","",600,"Subvention fonctionnement",224,"BERTRAND Alain",48,"Sénateur","","Alain","Bertrand","H","RDSE","http://www.senat.fr/senateur/bertrand_alain11081p.html","http://www.nossenateurs.fr/alain-bertrand","http://www.nossenateurs.fr/alain-bertrand/xml"
