"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"MARSEILLE",13,51050,"Restauration de la façade principale du fronton et du clocher de l'église Saint-Barnabé",122,"BLUM Roland",13,"Député",2007,"Roland","Blum","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/546.asp","http://2007-2012.nosdeputes.fr/roland-blum","http://2007-2012.nosdeputes.fr/roland-blum/xml"
"MARSEILLETTE",11,1500,"L'aménagement de l'esplanade du Canal du midi",122,"PEREZ Jean-Claude",11,"Député",2012,"Jean-Claude","Perez","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2365.asp","http://www.nosdeputes.fr/jean-claude-perez","http://www.nosdeputes.fr/jean-claude-perez/xml"
"MARTAIZE",86,12042,"L'enfouissement des réseaux, rue de la Mairie, rue de la Poste et Grand' rue",122,"ABELIN Jean-Pierre",86,"Député",2010,"Jean-Pierre","Abelin","H","NC","http://www.assemblee-nationale.fr/13/tribun/fiches_id/226.asp","http://2007-2012.nosdeputes.fr/jean-pierre-abelin","http://2007-2012.nosdeputes.fr/jean-pierre-abelin/xml"
"MARTIGNA",39,3144,"La réfection du mur nord du cimetière",122,"DALLOZ Marie-Christine",39,"Député",2012,"Marie-Christine","Dalloz","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/332523.asp","http://www.nosdeputes.fr/marie-christine-dalloz","http://www.nosdeputes.fr/marie-christine-dalloz/xml"
"MARTIGNE-FERCHAUD",35,80000,"L'installation d'un dispositif d'assainissement collectif à Saint-Morand",122,"MEHAIGNERIE Pierre",35,"Député",2011,"Pierre","Méhaignerie","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/2148.asp","http://2007-2012.nosdeputes.fr/pierre-mehaignerie","http://2007-2012.nosdeputes.fr/pierre-mehaignerie/xml"
"MARTINCOURT-SUR-MEUSE",55,3500,"La réfection de la voirie, place de l'église",122,"DUMONT Jean-Louis",55,"Député",2011,"Jean-Louis","Dumont","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1199.asp","http://www.nosdeputes.fr/jean-louis-dumont","http://www.nosdeputes.fr/jean-louis-dumont/xml"
"MARTINVAST",50,4097,"L'effacement des réseaux de télécommunications, route de l'Oraille (Voie communale n°11)",122,"CAZENEUVE Bernard",50,"Député",2012,"Bernard","Cazeneuve","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/785.asp","http://www.nosdeputes.fr/bernard-cazeneuve","http://www.nosdeputes.fr/bernard-cazeneuve/xml"
"MARY",71,4728,"L'aménagement, dans l'ancienne mairie, d'une salle de classe en rez-de-jardin et de logements à l'étage",122,"NESME Jean-Marc",71,"Député",2011,"Jean-Marc","Nesme","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/2273.asp","http://2007-2012.nosdeputes.fr/jean-marc-nesme","http://2007-2012.nosdeputes.fr/jean-marc-nesme/xml"
"MASLIVES",41,11444,"La construction d'une salle de classe",122,"MARTIN-LALANDE Patrice",41,"Député",2011,"Patrice","Martin-Lalande","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2099.asp","http://www.nosdeputes.fr/patrice-martin-lalande","http://www.nosdeputes.fr/patrice-martin-lalande/xml"
"MASPIE-LALONQUERE- JUILLACQ",64,19000,"La construction d'une cantine scolaire et la réhabilitation et l'extension de l'école de Juillacq",122,"HABIB David",64,"Député",2009,"David","Habib","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1592.asp","http://www.nosdeputes.fr/david-habib","http://www.nosdeputes.fr/david-habib/xml"
"MASSABRAC",31,128,"Curage et débroussaillage des fossés",122,"LEMASLE Patrick",31,"Député",2007,"Patrick","Lemasle","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1936.asp","http://www.nosdeputes.fr/patrick-lemasle","http://www.nosdeputes.fr/patrick-lemasle/xml"
"MASSEUBE",32,6853,"Le réaménagement et la mise en conformité de l'école primaire",122,"MARTIN Philippe",32,"Député",2013,"Philippe","Martin","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267278.asp","http://www.nosdeputes.fr/philippe-martin","http://www.nosdeputes.fr/philippe-martin/xml"
"MATHAUX",10,4077,"La rénovation et la mise en conformité de la cuisine de la salle des fêtes et de la chaufferie de l'école-mairie",122,"DHUICQ Nicolas",10,"Député",2012,"Nicolas","Dhuicq","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267178.asp","http://www.nosdeputes.fr/nicolas-dhuicq","http://www.nosdeputes.fr/nicolas-dhuicq/xml"
"MATHIEU",14,10000,"La construction d'une bibliothèque et d'une salle culturelle",122,"LEFRANC Jean-Marc",14,"Député",2011,"Jean-Marc","Lefranc","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/267099.asp","http://2007-2012.nosdeputes.fr/jean-marc-lefranc","http://2007-2012.nosdeputes.fr/jean-marc-lefranc/xml"
"MAUBEC",84,10000,"La réhabilitation de la ""Maison Deflaux"" en vue de créer une médiathèque, des logements et des boxes",122,"BOUCHET Jean-Claude",84,"Député",2011,"Jean-Claude","Bouchet","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/336316.asp","http://www.nosdeputes.fr/jean-claude-bouchet","http://www.nosdeputes.fr/jean-claude-bouchet/xml"
"MAUBEC",38,10985,"La réhabilitation de la Maison du Village",122,"COLOMBIER Georges",38,"Député",2011,"Georges","Colombier","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/909.asp","http://2007-2012.nosdeputes.fr/georges-colombier","http://2007-2012.nosdeputes.fr/georges-colombier/xml"
